Grupo de letras	Nº de letras	Nº de ocorrências	
HZIR	4	3	#837,#1015,#1137
HVNA	4	2	#605,#722
HIRA	4	2	#180,#1048
HAMA	4	2	#284,#806
CORN	4	3	#49,#831,#1061
CLAR	4	2	#347,#1238
CHIR	4	2	#1047,#1199
CHAL	4	3	#375,#399,#514
CHAR	4	4	#356,#734,#856,#863
CHER	4	2	#4,#248
ZICH	4	2	#1134,#1170
ZIRB	4	2	#363,#992
ZIRN	4	2	#259,#1016
NPHA	4	3	#497,#632,#1159
NERV	4	2	#1163,#1247
NAPH	4	2	#451,#1030
ARBA	4	2	#646,#1026
ARZI	4	2	#563,#865
ARZA	4	2	#464,#1240
ARDR	4	2	#982,#1119
ARGE	4	2	#29,#65
AXAL	4	2	#474,#580
AXOL	4	2	#501,#1004
AXOR	4	3	#77,#750,#996
ALCH	4	2	#880,#1045
ALBO	4	3	#224,#476,#1153
ALPH	4	2	#401,#821
ALPV	4	2	#109,#582
ANLE	4	2	#538,#902
ANOL	4	2	#763,#844
ANOX	4	3	#148,#255,#1144
MACH	4	2	#246,#792
MANZ	4	2	#0,#518
IXN	3	2	#352,#681
IRO	3	2	#839,#1201
TZI	3	2	#757,#1169
THN	3	2	#714,#1245
XNO	3	2	#429,#682
XMA	3	2	#325,#791
XAR	3	2	#114,#1176
XOP	3	2	#509,#689
PRO	3	2	#652,#1114
PZI	3	2	#362,#1081
PHC	3	2	#877,#1230
PON	3	2	#460,#1182
PAG	3	2	#305,#675
DEV	3	2	#296,#1100
DEM	3	2	#121,#974
LPA	3	2	#432,#1095
LON	3	2	#851,#1131
LOX	3	3	#141,#744,#1174
LDO	3	2	#46,#484
GED	3	2	#269,#1038
VAN	3	4	#719,#779,#1102,#1204
VAX	3	3	#112,#427,#507
BAX	3	2	#473,#995
BAL	3	3	#369,#648,#1058
OLA	3	2	#503,#765
OXL	3	2	#160,#569
OXA	3	3	#150,#243,#1175
ONT	3	2	#1116,#1183
RAL	3	2	#237,#742
RAX	3	3	#231,#535,#789
RPH	3	3	#80,#545,#899
RCH	3	2	#73,#487
RCL	3	2	#37,#701
RVO	3	2	#18,#1165
EPO	3	2	#53,#340
ERD	3	2	#250,#379
HCH	3	2	#855,#1231
HGE	3	2	#417,#711
HON	3	2	#98,#454
HLE	3	2	#338,#707
HAX	3	2	#1033,#1124
HEL	3	2	#126,#1233
CAL	3	2	#879,#1252
CON	3	2	#575,#818
CLO	3	2	#38,#1130
CHZ	3	2	#524,#1136
ZIL	3	2	#44,#758
NDA	3	2	#412,#781
NVA	3	2	#384,#778
NPO	3	2	#1108,#1181
NON	3	2	#133,#1104
NOR	3	3	#16,#683,#1217
NAL	3	3	#223,#820,#1044
NAD	3	2	#69,#607
NAB	3	2	#9,#724
AGA	3	2	#676,#1196
APT	3	2	#755,#1243
APA	3	2	#674,#889
APN	3	2	#277,#1073
AVA	3	2	#101,#287
ADO	3	2	#728,#884
ARM	3	2	#858,#1177
ARN	3	2	#736,#1042
ARR	3	2	#327,#550
AXV	3	2	#232,#1260
ALE	3	2	#377,#1253
ALG	3	2	#267,#649
ABA	3	4	#10,#253,#472,#1057
ANE	3	2	#467,#1162
IB	2	2	#92,#163
TG	2	2	#195,#1185
XT	2	2	#937,#972
DV	2	3	#772,#1040,#1193
DP	2	3	#24,#271,#387
GN	2	2	#578,#662
VD	2	2	#796,#1194
VC	2	2	#374,#773
VX	2	2	#234,#936
OH	2	2	#1123,#1213
EG	2	2	#494,#1008
NI	2	2	#279,#303
AH	2	2	#289,#799
AZ	2	2	#43,#372

