Group of Letters		Frequency		%
AAHPRO		1		0.00
AAHV		1		0.00
AAHVO		1		0.00
AAHVOL		1		0.00
AAHX		1		0.00
AAL		48		0.00
AALA		3		0.00
AALAB		1		0.00
AALABO		1		0.00
AALAC		1		0.00
AALACO		1		0.00
AALAP		1		0.00
AALAPZ		1		0.00
AALB		1		0.00
AALBL		1		0.00
AALBLO		1		0.00
AALC		6		0.00
AALCH		5		0.00
AALCHA		3		0.00
AALCHI		1		0.00
AALCHY		1		0.00
AALCL		1		0.00
AALCLA		1		0.00
AALD		7		0.00
AALDE		3		0.00
AALDEH		1		0.00
AALDEO		1		0.00
AALDER		1		0.00
AALDO		1		0.00
AALDOX		1		0.00
AALDV		1		0.00
AALDVT		1		0.00
AALDY		2		0.00
AALDYM		1		0.00
AALDYO		1		0.00
AALG		12		0.00
AALGE		9		0.00
AALGED		3		0.00
AALGEH		1		0.00
AALGEM		1		0.00
AALGEN		2		0.00
AALGET		2		0.00
AALGL		1		0.00
AALGLA		1		0.00
AALGO		1		0.00
AALGOH		1		0.00
AALH		1		0.00
AALHI		1		0.00
AALHID		1		0.00
AALL		2		0.00
AALLA		1		0.00
AALLAX		1		0.00
AALLV		1		0.00
AALLVZ		1		0.00
AALN		1		0.00
AALNA		1		0.00
AALO		1		0.00
AALOT		1		0.00
AALOTH		1		0.00
AALP		3		0.00
AALPH		1		0.00
AALPHA		1		0.00
AALPO		1		0.00
AALPV		1		0.00
AALPVD		1		0.00
AALT		2		0.00
AALTA		2		0.00
AALTAP		1		0.00
AALTAX		1		0.00
AALZ		9		0.00
AALZA		3		0.00
AALZAC		1		0.00
AALZAN		2		0.00
AALZE		2		0.00
AALZED		1		0.00
AALZEM		1		0.00
AALZI		2		0.00
AALZIC		1		0.00
AALZIN		1		0.00
AALZY		1		0.00
AALZYL		1		0.00
AAM		2		0.00
AAMA		1		0.00
AAMAH		1		0.00
AAMI		1		0.00
AAMIX		1		0.00
AAMIXA		1		0.00
AAN		15		0.00
AANA		1		0.00
AANAL		1		0.00
AANALL		1		0.00
AANC		2		0.00
AANCH		1		0.00
AANCHA		1		0.00
AANCL		1		0.00
AANCLA		1		0.00
AAND		6		0.00
AANDA		1		0.00
AANDAG		1		0.00
AANDE		1		0.00
AANDEN		1		0.00
AANDO		2		0.00
AANDON		1		0.00
AANDOX		1		0.00
AANDR		2		0.00
AANDRO		1		0.00
AANDRR		1		0.00
AANG		1		0.00
AANGO		1		0.00
AANGOX		1		0.00
AANO		1		0.00
AANOR		1		0.00
AANORG		1		0.00
AANT		2		0.00
AANTA		2		0.00
AANTAG		2		0.00
AANZ		2		0.00
AANZA		1		0.00
AANZAC		1		0.00
AANZE		1		0.00
AANZED		1		0.00
AAO		2		0.00
AAOR		1		0.00
AAORT		1		0.00
AAORTN		1		0.00
AAP		8		0.00
AAPH		2		0.00
AAPHA		1		0.00
AAPHAX		1		0.00
AAPHI		1		0.00
AAPHIN		1		0.00
AAPL		2		0.00
AAPLA		2		0.00
AAPLAN		1		0.00
AAPLAX		1		0.00
AAPN		1		0.00
AAPNO		1		0.00
AAPNOD		1		0.00
AAPR		3		0.00
AAPRA		1		0.00
AAPRAZ		1		0.00
AAPRI		1		0.00
AAPRIN		1		0.00
AAPRV		1		0.00
AAPRVD		1		0.00
AAR		9		0.00
AARD		3		0.00
AARDR		2		0.00
AARDRA		1		0.00
AARDRV		1		0.00
AARG		1		0.00
AARGA		1		0.00
AARGAN		1		0.00
AARI		1		0.00
AARIC		1		0.00
AARICH		1		0.00
AARN		1		0.00
AARNO		1		0.00
AARNOP		1		0.00
AART		1		0.00
AARTH		1		0.00
AARTHA		1		0.00
AAS		1		0.00
AASV		1		0.00
AASVV		1		0.00
AASVVY		1		0.00
AAX		18		0.00
AAXA		8		0.00
AAXAD		1		0.00
AAXADA		1		0.00
AAXAR		6		0.00
AAXARD		1		0.00
AAXARG		2		0.00
AAXARN		1		0.00
AAXARP		1		0.00
AAXARV		1		0.00
AAXE		1		0.00
AAXEN		1		0.00
AAXENG		1		0.00
AAXI		2		0.00
AAXIM		1		0.00
AAXIME		1		0.00
AAXIP		1		0.00
AAXIPL		1		0.00
AAXL		1		0.00
AAXLA		1		0.00
AAXLAN		1		0.00
AAXO		4		0.00
AAXOD		1		0.00
AAXOH		1		0.00
AAXOL		1		0.00
AAXOLA		1		0.00
AB		920		0.09
ABA		258		0.02
ABAA		4		0.00
ABAAH		4		0.00
ABAAHG		1		0.00
ABAB		9		0.00
ABABE		1		0.00
ABABEL		1		0.00
ABABN		1		0.00
ABABNA		1		0.00
ABABO		2		0.00
ABABOR		2		0.00
ABABP		1		0.00
ABABPO		1		0.00
ABABR		3		0.00
ABABRA		3		0.00
ABAC		20		0.00
ABACA		2		0.00
ABACAN		1		0.00
ABACAT		1		0.00
ABACH		15		0.00
ABACHA		7		0.00
ABACHC		1		0.00
ABACHE		1		0.00
ABACHI		2		0.00
ABACHL		2		0.00
ABACHO		1		0.00
ABACHV		1		0.00
ABACL		1		0.00
ABACLA		1		0.00
ABACO		1		0.00
ABACOD		1		0.00
ABAD		13		0.00
ABADA		3		0.00
ABADAL		1		0.00
ABADAR		1		0.00
ABADG		1		0.00
ABADGE		1		0.00
ABADM		1		0.00
ABADMA		1		0.00
ABADO		1		0.00
ABADOT		1		0.00
ABADR		5		0.00
ABADRA		2		0.00
ABADRO		1		0.00
ABADRV		2		0.00
ABADV		1		0.00
ABADVA		1		0.00
ABADY		1		0.00
ABADYA		1		0.00
ABAG		7		0.00
ABAGE		3		0.00
ABAGED		1		0.00
ABAGEL		2		0.00
ABAGO		3		0.00
ABAGOL		1		0.00
ABAGON		1		0.00
ABAGR		1		0.00
ABAGRA		1		0.00
ABAH		36		0.00
ABAHA		7		0.00
ABAHAC		1		0.00
ABAHAV		1		0.00
ABAHAX		3		0.00
ABAHC		3		0.00
ABAHCA		1		0.00
ABAHCH		2		0.00
ABAHD		3		0.00
ABAHDA		2		0.00
ABAHDE		1		0.00
ABAHG		1		0.00
ABAHGE		1		0.00
ABAHL		2		0.00
ABAHLA		1		0.00
ABAHLO		1		0.00
ABAHN		4		0.00
ABAHNA		1		0.00
ABAHNO		3		0.00
ABAHO		6		0.00
ABAHON		1		0.00
ABAHOR		1		0.00
ABAHOX		4		0.00
ABAHV		3		0.00
ABAHVO		3		0.00
ABAI		1		0.00
ABAIA		1		0.00
ABAIAL		1		0.00
ABAL		66		0.01
ABALA		19		0.00
ABALAC		1		0.00
ABALAD		2		0.00
ABALAG		2		0.00
ABALAN		2		0.00
ABALAS		1		0.00
ABALAT		2		0.00
ABALAX		8		0.00
ABALB		1		0.00
ABALBA		1		0.00
ABALC		3		0.00
ABALCH		2		0.00
ABALCO		1		0.00
ABALD		6		0.00
ABALDA		2		0.00
ABALDE		1		0.00
ABALDO		1		0.00
ABALDR		1		0.00
ABALG		11		0.00
ABALGA		3		0.00
ABALGE		6		0.00
ABALGL		1		0.00
ABALGR		1		0.00
ABALO		17		0.00
ABALOD		1		0.00
ABALOH		1		0.00
ABALON		13		0.00
ABALOX		2		0.00
ABALP		2		0.00
ABALPH		1		0.00
ABALPV		1		0.00
ABALT		1		0.00
ABALTO		1		0.00
ABALZ		5		0.00
ABALZA		3		0.00
ABALZE		2		0.00
ABAM		8		0.00
ABAMA		3		0.00
ABAMAC		1		0.00
ABAMAH		1		0.00
ABAMAN		1		0.00
ABAMANOH		1		0.00
ABAMB		1		0.00
ABAMBA		1		0.00
ABAMI		2		0.00
ABAMID		1		0.00
ABAMIG		1		0.00
ABAMN		1		0.00
ABAMNA		1		0.00
ABAMS		1		0.00
ABAMSE		1		0.00
ABAN		16		0.00
ABANA		1		0.00
ABANAT		1		0.00
ABAND		1		0.00
ABANDA		1		0.00
ABANG		3		0.00
ABANGE		2		0.00
ABANGL		1		0.00
ABANO		5		0.00
ABANOD		1		0.00
ABANOL		1		0.00
ABANOT		1		0.00
ABANOX		2		0.00
ABANP		1		0.00
ABANPA		1		0.00
ABANS		1		0.00
ABANSO		1		0.00
ABANT		2		0.00
ABANTA		1		0.00
ABANTO		1		0.00
ABANV		1		0.00
ABANVA		1		0.00
ABANZ		1		0.00
ABANZE		1		0.00
ABAO		6		0.00
ABAOH		1		0.00
ABAOHN		1		0.00
ABAON		1		0.00
ABAOND		1		0.00
ABAOR		1		0.00
ABAORD		1		0.00
ABAOT		2		0.00
ABAOTH		2		0.00
ABAOX		1		0.00
ABAOXA		1		0.00
ABAP		3		0.00
ABAPH		1		0.00
ABAPHN		1		0.00
ABAPR		1		0.00
ABAPRA		1		0.00
ABAR		22		0.00
ABARA		2		0.00
ABARAN		1		0.00
ABARAR		1		0.00
ABARB		2		0.00
ABARBV		1		0.00
ABARBY		1		0.00
ABARC		2		0.00
ABARCA		1		0.00
ABARCH		1		0.00
ABARG		8		0.00
ABARGA		2		0.00
ABARGD		1		0.00
ABARGE		2		0.00
ABARGN		2		0.00
ABARGO		1		0.00
ABARH		1		0.00
ABARHA		1		0.00
ABARO		3		0.00
ABAROL		1		0.00
ABAROT		1		0.00
ABAROX		1		0.00
ABART		1		0.00
ABARTO		1		0.00
ABARV		2		0.00
ABARVA		2		0.00
ABAS		3		0.00
ABASA		1		0.00
ABASAO		1		0.00
ABASC		1		0.00
ABASCA		1		0.00
ABASV		1		0.00
ABASVA		1		0.00
ABAT		9		0.00
ABATH		6		0.00
ABATHA		1		0.00
ABATHN		1		0.00
ABATHO		2		0.00
ABATHZ		1		0.00
ABATR		2		0.00
ABATRE		1		0.00
ABATRO		1		0.00
ABAV		7		0.00
ABAVA		2		0.00
ABAVAD		1		0.00
ABAVAR		1		0.00
ABAVI		2		0.00
ABAVIL		1		0.00
ABAVIR		1		0.00
ABAVO		3		0.00
ABAVOL		1		0.00
ABAVOM		1		0.00
ABAVOR		1		0.00
ABAX		17		0.00
ABAXA		4		0.00
ABAXAL		1		0.00
ABAXAR		1		0.00
ABAXAS		1		0.00
ABAXAX		1		0.00
ABAXI		1		0.00
ABAXIR		1		0.00
ABAXL		1		0.00
ABAXLI		1		0.00
ABAXN		1		0.00
ABAXNE		1		0.00
ABAXO		2		0.00
ABAXOM		1		0.00
ABAXOX		1		0.00
ABAXT		5		0.00
ABAXTA		2		0.00
ABAXTO		3		0.00
ABAXV		1		0.00
ABAXVL		1		0.00
ABAZ		5		0.00
ABAZA		1		0.00
ABAZAD		1		0.00
ABAZE		2		0.00
ABAZEB		1		0.00
ABAZEM		1		0.00
ABAZN		1		0.00
ABAZNA		1		0.00
ABAZY		1		0.00
ABAZYN		1		0.00
ABB		21		0.00
ABBA		8		0.00
ABBAB		2		0.00
ABBABH		1		0.00
ABBABO		1		0.00
ABBAD		1		0.00
ABBADO		1		0.00
ABBAL		1		0.00
ABBALO		1		0.00
ABBAN		1		0.00
ABBANH		1		0.00
ABBAR		2		0.00
ABBARA		1		0.00
ABBARN		1		0.00
ABBL		2		0.00
ABBLA		1		0.00
ABBLAH		1		0.00
ABBLG		1		0.00
ABBLGE		1		0.00
ABBO		2		0.00
ABBOD		1		0.00
ABBODE		1		0.00
ABBOL		1		0.00
ABBOLH		1		0.00
ABBR		2		0.00
ABBRA		1		0.00
ABBRAC		1		0.00
ABBRO		1		0.00
ABBROH		1		0.00
ABBROHDAH		1		0.00
ABBV		6		0.00
ABBVL		4		0.00
ABBVLA		4		0.00
ABBVR		1		0.00
ABBVRA		1		0.00
ABC		10		0.00
ABCA		2		0.00
ABCAD		1		0.00
ABCADV		1		0.00
ABCAS		1		0.00
ABCASP		1		0.00
ABCH		3		0.00
ABCHA		3		0.00
ABCHAD		1		0.00
ABCHAP		1		0.00
ABCHAT		1		0.00
ABCL		2		0.00
ABCLO		2		0.00
ABCLOC		1		0.00
ABCLON		1		0.00
ABCO		1		0.00
ABCOX		1		0.00
ABCOXA		1		0.00
ABCV		1		0.00
ABCVB		1		0.00
ABCVBL		1		0.00
ABD		5		0.00
ABDA		1		0.00
ABDAL		1		0.00
ABDALZ		1		0.00
ABDE		1		0.00
ABDED		1		0.00
ABDEDM		1		0.00
ABDV		2		0.00
ABDVL		1		0.00
ABDVLZ		1		0.00
ABDVN		1		0.00
ABDVNZ		1		0.00
ABE		10		0.00
ABEH		1		0.00
ABEHV		1		0.00
ABEHVA		1		0.00
ABEL		5		0.00
ABELA		2		0.00
ABELAC		1		0.00
ABELZ		1		0.00
ABELZI		1		0.00
ABER		1		0.00
ABERE		1		0.00
ABEREX		1		0.00
ABET		2		0.00
ABETH		2		0.00
ABF		3		0.00
ABFA		2		0.00
ABFAD		1		0.00
ABFADA		1		0.00
ABFAN		1		0.00
ABFAND		1		0.00
ABFO		1		0.00
ABFOL		1		0.00
ABFOLG		1		0.00
ABG		4		0.00
ABGE		2		0.00
ABGED		1		0.00
ABGEDA		1		0.00
ABGEDACHE		1		0.00
ABGEDACHEMANSEBAH		1		0.00
ABGEO		1		0.00
ABGEON		1		0.00
ABGO		1		0.00
ABGOL		1		0.00
ABGOLZ		1		0.00
ABH		4		0.00
ABHA		1		0.00
ABHAL		1		0.00
ABHALZ		1		0.00
ABHV		3		0.00
ABHVB		1		0.00
ABHVBA		1		0.00
ABHVG		1		0.00
ABHVGE		1		0.00
ABHVN		1		0.00
ABHVNZ		1		0.00
ABI		7		0.00
ABIL		1		0.00
ABILZ		1		0.00
ABILZA		1		0.00
ABIM		1		0.00
ABIMA		1		0.00
ABIMAC		1		0.00
ABIMACHA		1		0.00
ABIN		2		0.00
ABINO		1		0.00
ABINOC		1		0.00
ABIO		1		0.00
ABIOD		1		0.00
ABIODA		1		0.00
ABIR		1		0.00
ABIRB		1		0.00
ABIRBZ		1		0.00
ABL		125		0.01
ABLA		99		0.01
ABLAB		1		0.00
ABLABA		1		0.00
ABLAC		7		0.00
ABLACA		2		0.00
ABLACH		4		0.00
ABLACO		1		0.00
ABLAD		13		0.00
ABLADA		6		0.00
ABLADG		1		0.00
ABLADN		2		0.00
ABLADO		3		0.00
ABLADR		1		0.00
ABLADRA		1		0.00
ABLAG		10		0.00
ABLAGA		2		0.00
ABLAGE		5		0.00
ABLAGO		2		0.00
ABLAGR		1		0.00
ABLAH		15		0.00
ABLAHC		1		0.00
ABLAHD		1		0.00
ABLAHG		3		0.00
ABLAHH		1		0.00
ABLAHHODO		1		0.00
ABLAHN		2		0.00
ABLAHO		4		0.00
ABLAHV		1		0.00
ABLAN		6		0.00
ABLANC		2		0.00
ABLANO		1		0.00
ABLANT		2		0.00
ABLANZ		1		0.00
ABLAO		1		0.00
ABLAOX		1		0.00
ABLAP		5		0.00
ABLAPA		3		0.00
ABLAPH		1		0.00
ABLAPO		1		0.00
ABLAR		2		0.00
ABLARO		1		0.00
ABLARV		1		0.00
ABLAS		1		0.00
ABLASC		1		0.00
ABLASCO		1		0.00
ABLAT		4		0.00
ABLATA		3		0.00
ABLATO		1		0.00
ABLAV		1		0.00
ABLAVO		1		0.00
ABLAX		24		0.00
ABLAXA		3		0.00
ABLAXD		1		0.00
ABLAXN		2		0.00
ABLAXO		1		0.00
ABLAXP		1		0.00
ABLAXT		7		0.00
ABLAXV		3		0.00
ABLAXY		2		0.00
ABLAXZ		2		0.00
ABLAZ		4		0.00
ABLAZA		3		0.00
ABLAZD		1		0.00
ABLE		5		0.00
ABLEB		1		0.00
ABLEBA		1		0.00
ABLEL		1		0.00
ABLES		1		0.00
ABLET		1		0.00
ABLETH		1		0.00
ABLEX		1		0.00
ABLEXA		1		0.00
ABLI		8		0.00
ABLIC		1		0.00
ABLICH		1		0.00
ABLID		1		0.00
ABLIDO		1		0.00
ABLIG		3		0.00
ABLIGA		3		0.00
ABLIGANSO		1		0.00
ABLIN		1		0.00
ABLINO		1		0.00
ABLIS		1		0.00
ABLIZ		1		0.00
ABLIZO		1		0.00
ABLO		10		0.00
ABLOA		1		0.00
ABLOAN		1		0.00
ABLOC		1		0.00
ABLOCH		1		0.00
ABLOH		1		0.00
ABLOHA		1		0.00
ABLON		1		0.00
ABLONV		1		0.00
ABLOR		1		0.00
ABLOT		1		0.00
ABLOTH		1		0.00
ABLOX		4		0.00
ABLOXA		2		0.00
ABLOXO		1		0.00
ABLV		2		0.00
ABLVD		1		0.00
ABLVDA		1		0.00
ABLVP		1		0.00
ABLVPA		1		0.00
ABM		7		0.00
ABMA		5		0.00
ABMAC		1		0.00
ABMACH		1		0.00
ABMAG		2		0.00
ABMAGE		1		0.00
ABMAGO		1		0.00
ABMAR		1		0.00
ABMARC		1		0.00
ABMAX		1		0.00
ABMI		1		0.00
ABMIC		1		0.00
ABMICA		1		0.00
ABMICADAMPAGET		1		0.00
ABMV		1		0.00
ABMVC		1		0.00
ABMVCH		1		0.00
ABN		64		0.01
ABNA		36		0.00
ABNAC		8		0.00
ABNACH		5		0.00
ABNACO		3		0.00
ABNAD		3		0.00
ABNADA		1		0.00
ABNADO		2		0.00
ABNAG		10		0.00
ABNAGA		1		0.00
ABNAGE		8		0.00
ABNAGO		1		0.00
ABNAH		4		0.00
ABNAHA		1		0.00
ABNAHG		1		0.00
ABNAHO		2		0.00
ABNAP		5		0.00
ABNAPA		1		0.00
ABNAPAHQ		1		0.00
ABNAPH		2		0.00
ABNAPT		1		0.00
ABNAT		1		0.00
ABNATH		1		0.00
ABNAV		1		0.00
ABNAVA		1		0.00
ABNAX		2		0.00
ABNAXT		1		0.00
ABNAXY		1		0.00
ABNAZ		1		0.00
ABNAZA		1		0.00
ABNE		3		0.00
ABNEG		1		0.00
ABNEGE		1		0.00
ABNEL		1		0.00
ABNELO		1		0.00
ABNER		1		0.00
ABNERD		1		0.00
ABNERDA		1		0.00
ABNI		2		0.00
ABNIC		1		0.00
ABNICH		1		0.00
ABNIH		1		0.00
ABNL		16		0.00
ABNLA		12		0.00
ABNLAB		1		0.00
ABNLAC		1		0.00
ABNLAH		1		0.00
ABNLAN		1		0.00
ABNLAR		1		0.00
ABNLAX		7		0.00
ABNLO		4		0.00
ABNLON		3		0.00
ABNLOT		1		0.00
ABNO		5		0.00
ABNOD		1		0.00
ABNODA		1		0.00
ABNOL		3		0.00
ABNOLD		1		0.00
ABNOLG		1		0.00
ABNOX		1		0.00
ABNOXA		1		0.00
ABNR		2		0.00
ABNRA		2		0.00
ABNRAN		1		0.00
ABNRAX		1		0.00
ABO		44		0.00
ABOC		1		0.00
ABOCH		1		0.00
ABOCHA		1		0.00
ABOL		5		0.00
ABOLA		1		0.00
ABOLAH		1		0.00
ABOLC		1		0.00
ABOLCH		1		0.00
ABOLD		2		0.00
ABOLDA		1		0.00
ABOLDO		1		0.00
ABOLG		1		0.00
ABOLGE		1		0.00
ABOM		1		0.00
ABOMO		1		0.00
ABOMON		1		0.00
ABON		11		0.00
ABONA		3		0.00
ABONAC		1		0.00
ABONAD		1		0.00
ABONAR		1		0.00
ABONB		1		0.00
ABONC		3		0.00
ABONCA		1		0.00
ABONCH		2		0.00
ABOND		1		0.00
ABONDO		1		0.00
ABONG		3		0.00
ABONGA		3		0.00
ABOR		14		0.00
ABORC		2		0.00
ABORCH		1		0.00
ABORCR		1		0.00
ABORD		1		0.00
ABORDI		1		0.00
ABORG		2		0.00
ABORGA		1		0.00
ABORGE		1		0.00
ABORH		1		0.00
ABORHV		1		0.00
ABORN		2		0.00
ABORNO		2		0.00
ABORP		1		0.00
ABORPH		1		0.00
ABORT		3		0.00
ABORTA		2		0.00
ABORTO		1		0.00
ABORX		1		0.00
ABORXA		1		0.00
ABOT		4		0.00
ABOTH		3		0.00
ABOTHA		3		0.00
ABOTS		1		0.00
ABOX		4		0.00
ABOXA		2		0.00
ABOXAL		1		0.00
ABOXY		1		0.00
ABOXYN		1		0.00
ABP		4		0.00
ABPA		1		0.00
ABPAL		1		0.00
ABPALS		1		0.00
ABPH		1		0.00
ABPHA		1		0.00
ABPHAD		1		0.00
ABPO		2		0.00
ABPOL		1		0.00
ABPOLO		1		0.00
ABPOR		1		0.00
ABPORB		1		0.00
ABR		141		0.01
ABRA		121		0.01
ABRAC		23		0.00
ABRACH		18		0.00
ABRACL		2		0.00
ABRACO		2		0.00
ABRAD		10		0.00
ABRADA		3		0.00
ABRADG		1		0.00
ABRADN		1		0.00
ABRADO		5		0.00
ABRAG		5		0.00
ABRAGE		4		0.00
ABRAGO		1		0.00
ABRAH		30		0.00
ABRAHA		3		0.00
ABRAHAM		1		0.00
ABRAHC		2		0.00
ABRAHD		1		0.00
ABRAHG		4		0.00
ABRAHL		2		0.00
ABRAHN		3		0.00
ABRAHO		6		0.00
ABRAHS		1		0.00
ABRAHT		1		0.00
ABRAHV		4		0.00
ABRAHZ		1		0.00
ABRAM		2		0.00
ABRAMN		1		0.00
ABRAMV		1		0.00
ABRAN		12		0.00
ABRANA		1		0.00
ABRANC		1		0.00
ABRANG		2		0.00
ABRANH		1		0.00
ABRANO		1		0.00
ABRANP		2		0.00
ABRANT		2		0.00
ABRANZ		2		0.00
ABRAO		8		0.00
ABRAOC		1		0.00
ABRAOD		1		0.00
ABRAOL		1		0.00
ABRAOP		1		0.00
ABRAOX		4		0.00
ABRAT		2		0.00
ABRATH		1		0.00
ABRATN		1		0.00
ABRAV		1		0.00
ABRAVX		1		0.00
ABRAX		22		0.00
ABRAXA		7		0.00
ABRAXC		2		0.00
ABRAXH		1		0.00
ABRAXL		1		0.00
ABRAXN		2		0.00
ABRAXR		1		0.00
ABRAXT		5		0.00
ABRAXY		1		0.00
ABRAXZ		1		0.00
ABRAZ		1		0.00
ABRAZI		1		0.00
ABRE		2		0.00
ABREV		1		0.00
ABREVE		1		0.00
ABRI		3		0.00
ABRIG		2		0.00
ABRIGA		1		0.00
ABRIGL		1		0.00
ABRIM		1		0.00
ABRIMA		1		0.00
ABRIMANADG		1		0.00
ABRO		14		0.00
ABROC		1		0.00
ABROCH		1		0.00
ABROD		1		0.00
ABRODN		1		0.00
ABROH		2		0.00
ABROHS		1		0.00
ABROHY		1		0.00
ABROL		2		0.00
ABROLA		1		0.00
ABROLG		1		0.00
ABRON		3		0.00
ABRONA		1		0.00
ABRONH		1		0.00
ABRONT		1		0.00
ABROT		2		0.00
ABROTH		2		0.00
ABROX		2		0.00
ABROXA		1		0.00
ABROXN		1		0.00
ABS		11		0.00
ABSA		2		0.00
ABSAB		1		0.00
ABSABV		1		0.00
ABSAC		1		0.00
ABSACA		1		0.00
ABSACANCAPHES		1		0.00
ABSC		1		0.00
ABSCH		1		0.00
ABSCHA		1		0.00
ABSE		4		0.00
ABSEB		1		0.00
ABSEBV		1		0.00
ABSEC		1		0.00
ABSECH		1		0.00
ABSECHEL		1		0.00
ABSEP		1		0.00
ABSEPH		1		0.00
ABSI		1		0.00
ABSIP		1		0.00
ABSIPI		1		0.00
ABSO		1		0.00
ABT		6		0.00
ABTE		1		0.00
ABTEP		1		0.00
ABTEPH		1		0.00
ABTH		2		0.00
ABTHA		1		0.00
ABTHAG		1		0.00
ABTHV		1		0.00
ABTHVA		1		0.00
ABTO		2		0.00
ABTON		1		0.00
ABTONO		1		0.00
ABTOS		1		0.00
ABTOSV		1		0.00
ABTZ		1		0.00
ABTZI		1		0.00
ABTZID		1		0.00
ABV		145		0.01
ABVA		25		0.00
ABVAC		2		0.00
ABVACH		1		0.00
ABVACO		1		0.00
ABVAG		2		0.00
ABVAGE		1		0.00
ABVAGH		1		0.00
ABVAH		2		0.00
ABVAHG		1		0.00
ABVAHT		1		0.00
ABVAL		3		0.00
ABVALA		1		0.00
ABVALG		2		0.00
ABVAN		2		0.00
ABVANG		1		0.00
ABVANZ		1		0.00
ABVAR		12		0.00
ABVARA		2		0.00
ABVARC		2		0.00
ABVARG		6		0.00
ABVARN		1		0.00
ABVART		1		0.00
ABVAT		1		0.00
ABVATA		1		0.00
ABVD		6		0.00
ABVDA		2		0.00
ABVDAX		2		0.00
ABVDB		1		0.00
ABVDBR		1		0.00
ABVDO		2		0.00
ABVDOR		1		0.00
ABVDOX		1		0.00
ABVDR		1		0.00
ABVDRA		1		0.00
ABVG		3		0.00
ABVGA		1		0.00
ABVGAH		1		0.00
ABVGE		2		0.00
ABVGEM		1		0.00
ABVGEN		1		0.00
ABVI		2		0.00
ABVIN		1		0.00
ABVING		1		0.00
ABVIR		1		0.00
ABVIRM		1		0.00
ABVL		72		0.01
ABVLA		62		0.01
ABVLAA		2		0.00
ABVLAB		2		0.00
ABVLAC		5		0.00
ABVLAD		3		0.00
ABVLAG		2		0.00
ABVLAH		3		0.00
ABVLAM		1		0.00
ABVLAN		11		0.00
ABVLAP		4		0.00
ABVLAR		1		0.00
ABVLAT		3		0.00
ABVLAX		22		0.00
ABVLAZ		1		0.00
ABVLC		2		0.00
ABVLCH		2		0.00
ABVLO		6		0.00
ABVLOL		1		0.00
ABVLON		4		0.00
ABVLOR		1		0.00
ABVLZ		1		0.00
ABVLZA		1		0.00
ABVM		1		0.00
ABVMI		1		0.00
ABVMIL		1		0.00
ABVO		20		0.00
ABVOF		1		0.00
ABVOFG		1		0.00
ABVOL		10		0.00
ABVOLG		3		0.00
ABVOLH		2		0.00
ABVOLS		1		0.00
ABVOLT		1		0.00
ABVOLZ		3		0.00
ABVON		1		0.00
ABVONT		1		0.00
ABVOR		6		0.00
ABVORB		1		0.00
ABVORN		3		0.00
ABVORO		1		0.00
ABVORZ		1		0.00
ABVR		15		0.00
ABVRA		7		0.00
ABVRAD		3		0.00
